alpha_key,alpha_corr_mean_for_panel,J_level,slope_dCL_ddeltae,intercept
-2,-1.992357437,1.9,0.010245883821999998,0.00885786478000001
-2,-1.9922433890000002,2.5,0.0093729021425,0.009141489774999992
-2,-1.986258328,3.6,0.0091888970755,0.015292768744999994
-2,-1.9882501156666663,5.0,0.0092215329395,0.01809307980500001
0,0.163905321475,1.9,0.011528230569999997,0.26044315060000006
0,0.15372197640333332,2.5,0.010586805805,0.25364624125
0,0.157900621735,3.6,0.010492033705,0.25415645285000005
0,0.15399547179333334,5.0,0.010588076479999998,0.2560173023
4,4.472234369,1.9,0.014354499424999997,0.74132767875
4,4.446154574666667,2.5,0.013277194414999995,0.7217049116500002
4,4.455805515,3.6,0.013031789115000006,0.71553717055
4,4.441382426666666,5.0,0.013079448290000002,0.7142002350000002
8,8.7343355395,1.9,0.015858719445000002,1.1496422995500002
8,8.693186629666668,2.5,0.014983082454999998,1.1169853714500002
8,8.700159509,3.6,0.014731011085000007,1.0991314011500004
8,8.67801764,5.0,0.014732830349999997,1.0939659125000003
12,12.87078468,1.9,0.018119579600000005,1.366983913
12,12.817502473333334,2.5,0.016857082250000006,1.3199240595000001
12,12.822278924999999,3.6,0.016253868799999995,1.2908381270000002
12,12.793336879999998,5.0,0.015997231749999993,1.2801857145000004
