alpha_key,alpha_corr_mean_for_panel,J_level,slope_dCm_ddeltae,intercept
-2,-1.996195202,1.9,-0.030572680344999992,0.06175471965
-2,-1.9942390056666666,2.5,-0.02775594580999999,0.06099866479999997
-2,-1.989047966,3.6,-0.027175174584999996,0.05381619684999997
-2,-1.989357623,5.0,-0.02729606331,0.04901748419999999
0,0.18046878155,1.9,-0.03020650579499999,-0.04224300835000002
0,0.17553037853333334,2.5,-0.027351322519999995,-0.03640201780000002
0,0.17454426985,3.6,-0.02686144483,-0.03823256540000001
0,0.17609676886666667,5.0,-0.027074141700000002,-0.04184288280000002
4,4.529022252,1.9,-0.029853027813999993,-0.23736493366000005
4,4.5147740306666675,2.5,-0.026996976119,-0.22033564021000004
4,4.511261939500001,3.6,-0.026616507089999995,-0.21557987590000002
4,4.509316423333334,5.0,-0.026843350941499998,-0.214764953285
8,8.828860397,1.9,-0.02831564456,-0.4624994981000001
8,8.8046618405,2.5,-0.0261497824675,-0.4325404729250001
8,8.790910521,3.6,-0.02579185580499999,-0.41736852215000003
8,8.787246961333333,5.0,-0.025926237619999997,-0.41354211650000006
12,12.987138054999999,1.9,-0.03178604545,-0.7339932155000002
12,12.952569526666666,2.5,-0.029295320074999995,-0.6815854420500002
12,12.932321645,3.6,-0.027791246179999996,-0.6512314673000001
12,12.92426964,5.0,-0.02725247335,-0.6399321113000002
